
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005300                       # Number of seconds simulated (Second)
simTicks                                   5300068000                       # Number of ticks simulated (Tick)
finalTick                                  5300068000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    140.16                       # Real time elapsed on the host (Second)
hostTickRate                                 37815184                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1200808                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   142186                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     252120                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10600137                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35857503                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       37                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35717628                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1329                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               521057                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            600876                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  19                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10506646                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.399527                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.917186                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    655199      6.24%      6.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1226701     11.68%     17.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    916639      8.72%     26.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3404785     32.41%     59.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1729445     16.46%     75.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1103368     10.50%     86.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    734018      6.99%     92.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    287362      2.74%     95.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    449129      4.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10506646                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  575370     95.22%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.22% # attempts to use FU when none available (Count)
