
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005612                       # Number of seconds simulated (Second)
simTicks                                   5612299500                       # Number of ticks simulated (Tick)
finalTick                                  5612299500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    136.14                       # Real time elapsed on the host (Second)
hostTickRate                                 41224014                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1198760                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146380                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259557                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11224600                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36873637                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       38                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       36483268                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3127                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1537192                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1775776                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11118724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.281246                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.981547                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1027310      9.24%      9.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1251833     11.26%     20.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    869326      7.82%     28.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3688803     33.18%     61.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1803702     16.22%     77.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    931482      8.38%     86.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    786288      7.07%     93.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    243412      2.19%     95.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    516568      4.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11118724                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  568941     95.01%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.01% # attempts to use FU when none available (Count)
