
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005300                       # Number of seconds simulated (Second)
simTicks                                   5300126500                       # Number of ticks simulated (Tick)
finalTick                                  5300126500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    150.09                       # Real time elapsed on the host (Second)
hostTickRate                                 35313563                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1200808                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   132779                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     235439                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10600254                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35857903                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       37                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35717712                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1335                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               521457                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            602257                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  19                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10505632                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.399863                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.938197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    726012      6.91%      6.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1225660     11.67%     18.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    986990      9.39%     27.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3122264     29.72%     57.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1658567     15.79%     73.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1315057     12.52%     86.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    734025      6.99%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    358879      3.42%     96.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    378178      3.60%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10505632                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  575677     95.23%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.23% # attempts to use FU when none available (Count)
